,Número de Noticia,Despacho,Delito,Hechos,DELITO O NO ,Fecha Hechos,Lugar Hechos,Nombre,No. Documento,Modalidad,Modo,Indiciados,Tipo Diligencia,Etapa,Grado Delito,Priorizado,Tipo Noticia,Número de Noticia Limpio
19,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-AUPtVx,0,2025-08-08 11:29:05,"Antioquia, MEDELLÍN - Calle 42 67 33, San Joaquín, Medellín, Antioquia, COL,SAN JOAQUÍN",MAIKEL MOTATO HERNANDEZ,'43738812',CONTRACTUAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES CHATS,1,INDAGACION SIN PRESO P.A.,QUERELLABLE,AGRAVADO,NO,DE OFICIO (INFORMES),-9223372036854775808
20,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-QezjhM,0,2025-02-04 03:43:00,"Antioquia, MEDELLÍN - Carrera 19 56 19, La Libertad, Medellín, Antioquia, COL,LA LIBERTAD",,'1000638877',CONTRACTUAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHISPER,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
21,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA AGRAVADA CUANDO LA ESTAFA SE REALICE POR INDUCCION A ERROR ART. 247 C.P. N.2,sdv-id-foikwM,0,2025-02-03 07:59:58,"Antioquia, MEDELLÍN - Carrera 19 56 19, La Libertad, Medellín, Antioquia, COL,LA LIBERTAD",NORELA DE JESUS ROLDAN CARO,'1000638877',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,1,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
22,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-pHOPkD,0,2025-02-24 19:56:55,"Antioquia, MEDELLÍN - Carrera 75A 90 22, Kennedy, Medellín, Antioquia, COL,KENNEDY",HAROL STEVEN REY OVALLE,'43738812',VENTA,PERSONAL SUPLANTACIÓN,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
23,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-RdSGJp,1,2025-03-05 02:48:46,"Antioquia, MEDELLÍN - Calle 49 37 79, Bomboná No. 1, Medellín, Antioquia, COL,BOMBONA 1",ESTEBAN GIRALDO VILLARREAL,'155337431',TRÁMITES ADMINISTRATIVOS,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES CHATS,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
24,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-UZzmZr,0,2025-02-04 07:58:14,"Antioquia, MEDELLÍN - Calle 1 82 230, Altavista Sector Central, Medellín, Antioquia, COL,EL RINCÓN",KELLY ALEJANDRA CARO HERRERA,'1036948639',PRÉSTAMO DE DINERO,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES CHATS,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
25,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-wxRxLz,0,2025-02-04 10:41:50,"Antioquia, MEDELLÍN - Carrera 19 56 19, La Libertad, Medellín, Antioquia, COL,LA LIBERTAD",DEBRA CARREÑO,'1001772625',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHISPER,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,AGRAVADO,NO,QUERELLA,-9223372036854775808
26,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-PdrZMn,0,2025-02-02 02:45:49,"Antioquia, MEDELLÍN - ",YELSIN BERRIO GIRALDO,'112418077',ACUERDO COMERCIAL,PERSONAL SUPLANTACIÓN,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
27,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA AGRAVADA CUANDO LA ESTAFA SE REALICE POR INDUCCION A ERROR ART. 247 C.P. N.2,sdv-id-hqoMIi,0,2025-02-02 03:07:14,"Antioquia, MEDELLÍN - Carrera 19 56 19, La Libertad, Medellín, Antioquia, COL,LA LIBERTAD",MAIKEL MOTATO HERNANDEZ,'43738812',TRÁMITES ADMINISTRATIVOS,PÁGINAS WEB GOOGLE,1,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
28,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-AeppVH,0,2025-02-03 14:33:58,"Antioquia, MEDELLÍN - Calle 42 67 33, San Joaquín, Medellín, Antioquia, COL,SAN JOAQUÍN",KELLY ALEJANDRA CARO HERRERA,'1088328101',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
29,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-pmQYIU,0,2025-03-21 16:57:14,"Antioquia, MEDELLÍN - Carrera 75A 90 22, Kennedy, Medellín, Antioquia, COL,KENNEDY",MAIKEL MOTATO HERNANDEZ,,SIMULACIÓN DE PERFILES POR RED SOCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES INSTAGRAM,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
30,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-uYmiAZ,0,2025-02-07 17:58:39,"Antioquia, MEDELLÍN - Carrera 89 92C 64, Picacho, Medellín, Antioquia, COL,AURES 2",ANGÉLICA MARIA ZABALA SALCEDO,'1014207847',TRÁMITES ADMINISTRATIVOS,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
31,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-qqpeIL,0,2025-02-22 16:07:03,"Antioquia, MEDELLÍN - Almacentro, El Poblado, Perpetuo Socorro, Medellín, Antioquia, COL,PERPETUO SOCORRO",NORELA DE JESUS ROLDAN CARO,'43738812',TRÁMITES ADMINISTRATIVOS,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
32,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-MaQXuV,0,2025-06-29 20:00:51,"Antioquia, MEDELLÍN - Almacentro, El Poblado, Perpetuo Socorro, Medellín, Antioquia, COL,PERPETUO SOCORRO",YENIFER ANDREA ALZATE ATEHORTUA,'1014483967',PRÉSTAMO DE DINERO,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES VÍA TELEFÓNICA,1,INDAGACION SIN PRESO P.A.,QUERELLABLE,AGRAVADO,NO,QUERELLA,-9223372036854775808
33,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-nZZTdI,0,2025-02-02 10:26:39,"Antioquia, MEDELLÍN - Medellín, Antioquia, COL,CORAZÓN DE JESÚS",ESTEBAN VILLEGAS ECHEVERRY,'6788198',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES VÍA TELEFÓNICA,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
34,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-KnqsHM,1,2025-02-02 10:58:01,"Antioquia, MEDELLÍN - Calle 42 67 33, San Joaquín, Medellín, Antioquia, COL,SAN JOAQUÍN",KELLY ALEJANDRA CARO HERRERA,'1001772625',SIMULACIÓN DE PERFILES POR RED SOCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES VÍA TELEFÓNICA,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
35,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-nvssja,0,2025-03-04 19:16:21,"Antioquia, MEDELLÍN - Carrera 19 56 19, La Libertad, Medellín, Antioquia, COL,LA LIBERTAD",YENIFER ANDREA ALZATE ATEHORTUA,,PRÉSTAMO DE DINERO,PERSONAL SUPLANTACIÓN,1,INDAGACION SIN PRESO P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
36,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-wsmsOW,0,2025-02-02 02:45:01,"Antioquia, MEDELLÍN - Medellín, Antioquia, COL,CORAZÓN DE JESÚS",KELLY ALEJANDRA CARO HERRERA,'155337431',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,1,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,DE OFICIO (INFORMES),-9223372036854775808
37,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-YqaZYZ,1,2025-02-14 01:08:08,"Antioquia, MEDELLÍN - ",LIBIA DEL CARMEN MURILLO RENTERIA,'112418077',VENTA,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHISPER,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
38,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-VcgUuy,0,2025-02-07 12:17:26,"Antioquia, MEDELLÍN - Calle 30A, San Pablo, Medellín, Antioquia, COL,SAN PABLO",NORELA DE JESUS ROLDAN CARO,'155337431',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,DE OFICIO (INFORMES),-9223372036854775808
39,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-XxqrLQ,0,2025-02-16 02:22:59,"Antioquia, MEDELLÍN - Carrera 75A 90 22, Kennedy, Medellín, Antioquia, COL,KENNEDY",HAROL STEVEN REY OVALLE,,VENTA,PERSONAL SUPLANTACIÓN,1,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
40,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-oTcJMF,0,2025-02-02 20:11:33,"Antioquia, MEDELLÍN - Medellín, Antioquia, COL,CORAZÓN DE JESÚS",RICMAR VALENTINA VILCHEZ VASQUEZ,'6788198',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
41,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-JLchqD,0,2025-02-02 12:43:32,"Antioquia, MEDELLÍN - Calle 30, Belén, Medellín, Antioquia, COL,BELÉN",KELLY ALEJANDRA CARO HERRERA,'112418077',PRÉSTAMO DE DINERO,PERSONAL SUPLANTACIÓN,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
42,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-uvfabx,0,2025-02-19 00:06:14,"Antioquia, MEDELLÍN - KR 93 CON CL 62 B KR 93 CL 62 B",YENIFER ANDREA ALZATE ATEHORTUA,'1014483967',VENTA,PERSONAL SUPLANTACIÓN,1,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
43,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-IXUzDI,0,2025-03-22 12:52:58,"Antioquia, MEDELLÍN - Almacentro, El Poblado, Perpetuo Socorro, Medellín, Antioquia, COL,PERPETUO SOCORRO",HAROL STEVEN REY OVALLE,,ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES CHATS,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,AGRAVADO,NO,QUERELLA,-9223372036854775808
44,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-ceFjjQ,0,2025-02-25 22:06:12,"Antioquia, MEDELLÍN - Carrera 75A 90 22, Kennedy, Medellín, Antioquia, COL,KENNEDY",,'43738812',VENTA,PERSONAL SUPLANTACIÓN,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
45,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-MnnitG,0,2025-06-09 11:52:21,"Antioquia, MEDELLÍN - Carrera 75A 90 22, Kennedy, Medellín, Antioquia, COL,KENNEDY",,'1000638877',SIMULACIÓN DE PERFILES POR RED SOCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES CHATS,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,DE OFICIO (INFORMES),-9223372036854775808
46,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-wfDUvd,0,2025-03-23 07:39:38,"Antioquia, MEDELLÍN - Carrera 75A 90 22, Kennedy, Medellín, Antioquia, COL,KENNEDY",YENIFER ANDREA ALZATE ATEHORTUA,'1030536697',PRÉSTAMO DE DINERO,PERSONAL SUPLANTACIÓN,0,INDAGACION SIN PRESO P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
47,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-sfqNyO,0,2025-02-02 02:51:27,"Antioquia, MEDELLÍN - Carrera 89 92C 64, Picacho, Medellín, Antioquia, COL,AURES 2",LIBIA DEL CARMEN MURILLO RENTERIA,'6788198',PRÉSTAMO DE DINERO,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,1,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
48,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-QYavil,0,2025-08-01 08:55:17,"Antioquia, MEDELLÍN - Almacentro, El Poblado, Perpetuo Socorro, Medellín, Antioquia, COL,PERPETUO SOCORRO",YENIFER ANDREA ALZATE ATEHORTUA,'1014483967',VENTA,PERSONAL SUPLANTACIÓN,1,INDAGACION SIN PRESO P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
49,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-wVVwXf,0,2025-04-04 14:45:15,"Antioquia, MEDELLÍN - Calle 49 37 79, Bomboná No. 1, Medellín, Antioquia, COL,BOMBONA 1",DEBRA CARREÑO,'1001772625',ACUERDO COMERCIAL,PERSONAL SUPLANTACIÓN,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
50,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-chdqgU,1,2025-02-02 02:45:00,"Antioquia, MEDELLÍN - Medellín, Antioquia, COL,CORAZÓN DE JESÚS",RICMAR VALENTINA VILCHEZ VASQUEZ,'1152439128',TRÁMITES ADMINISTRATIVOS,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHATSAPP,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
51,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-XBqwoU,0,2025-03-21 09:14:09,"Antioquia, MEDELLÍN - Carrera 75A 90 22, Kennedy, Medellín, Antioquia, COL,KENNEDY",,'1000638877',CONTRACTUAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES VÍA TELEFÓNICA,0,INDAGACION EN AVERIGUACION P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
52,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-TOibUn,0,2025-05-02 11:01:14,"Antioquia, MEDELLÍN - Carrera 19 56 19, La Libertad, Medellín, Antioquia, COL,LA LIBERTAD",ESTEBAN GIRALDO VILLARREAL,'1000638877',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES WHISPER,0,INDAGACION SIN PRESO P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
53,-9223372036854775808,111,ESTAFA. ART. 246 C.P. MENOR CUANTIA,sdv-id-BfWWAd,0,2025-05-06 13:06:59,"Antioquia, MEDELLÍN - Calle 49 37 79, Bomboná No. 1, Medellín, Antioquia, COL,BOMBONA 1",NORELA DE JESUS ROLDAN CARO,'1000638877',ACUERDO COMERCIAL,MEDIOS DE COMUNICACIÓN Y REDES SOCIALES CHATS,0,INDAGACION SIN PRESO P.A.,QUERELLABLE,NINGUNO,NO,QUERELLA,-9223372036854775808
